date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:45	199/199	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:43%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/admin/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/admin/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/)
17:50:45	199/199	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:43%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/usc/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/usc/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/)
17:50:45	199/199	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:43%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/cms/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/cms/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/)
17:50:46	73750/73750	---M-Z	200	added ('OK')	application/javascript	etag:%2255e013f01859d91:0%22	https://www.edwardwomac.com/cms/includes/qlhtcgbxk77.2303171439226.js	C:/Os%20meus%20Sites/49/www.edwardwomac.com/cms/includes/qlhtcgbxk77.2303171439226.js	(from https://www.edwardwomac.com/personal-injury/car-accidents/uber-and-lyft-accidents/)
17:50:48	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:47%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/usc/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/usc/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/)
17:50:49	442434/442434	---M-Z	200	added ('OK')	text/css	etag:%22a8fc8607353d91:0%22	https://www.edwardwomac.com/cms/includes/tniayjn4wma.2303100911381.css	C:/Os%20meus%20Sites/49/www.edwardwomac.com/cms/includes/tniayjn4wma.2303100911381.css	(from https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/)
17:50:49	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:47%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/admin/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/admin/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/)
17:50:49	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:47%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/cms/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/cms/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/distracted-drivers/)
17:50:49	189/189	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:49%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/admin/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/admin/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/)
17:50:50	189/189	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:49%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/usc/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/usc/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/)
17:50:50	189/189	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2020:50:49%20GMT	https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/cms/	C:/Os%20meus%20Sites/49/www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/cms/index.html	(from https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/)
17:50:52	970279/970279	---M--	200	added ('OK')	image/png	etag:%2260331930554bd71:0%22	https://www.edwardwomac.com/assets/content/stamp-mobile.png	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/content/stamp-mobile.png	(from https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/)
17:50:53	970279/970279	---M--	200	added ('OK')	image/png	etag:%22fa1dec31554bd71:0%22	https://www.edwardwomac.com/assets/content/stamp.png	C:/Os%20meus%20Sites/49/www.edwardwomac.com/assets/content/stamp.png	(from https://www.edwardwomac.com/personal-injury/car-accidents/drunk-drivers/)
